,H,ICU
1,1287,809
2,1296,812
3,1302,811
4,1309,806
5,1303,801
6,1302,794
7,1314,785
8,1302,783
9,1303,771
10,1314,769
11,1329,769
12,1340,768
13,1344,771
14,1359,766
15,1370,758
16,1366,747
17,1363,738
18,1346,728
19,1342,719
20,1345,708
21,1342,703
22,1355,687
23,1364,680
24,1362,675
25,1363,662
26,1367,658
27,1373,654
28,1382,655
29,1390,654
30,1420,656
31,1443,656
32,1476,657
33,1502,656
34,1514,659
35,1527,662
36,1545,668
37,1564,677
38,1585,687
39,1611,696
40,1633,697
41,1666,699
42,1692,699
43,1707,706
44,1715,712
45,1727,719
46,1735,718
47,1742,718
48,1735,718
49,1716,719
50,1696,720
51,1687,713
52,1671,706
53,1657,703
54,1641,705
55,1619,710
56,1617,708
57,1624,704
58,1635,700
59,1646,698
60,1653,701
61,1656,707
62,1676,711
63,1702,710
64,1713,715
65,1709,720
66,1717,715
67,1723,712
68,1735,702
69,1748,689
70,1741,687
71,1744,684
72,1725,678
73,1698,672
74,1680,664
75,1670,656
76,1663,644
77,1653,635
78,1640,625
79,1627,617
80,1613,615
81,1596,611
82,1589,616
83,1578,620
84,1581,617
85,1578,617
86,1590,616
87,1602,618
88,1609,616
89,1616,613
90,1616,617
91,1617,622
92,1624,620
93,1639,621
94,1643,619
95,1649,617
96,1634,609
97,1625,599
98,1597,592
99,1557,580
100,1513,563
